Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,11.814475944954545
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows,11.204674904025437
Microsoft,Ultrabook,8,1.252,1,0,200.84255993695703,Intel Core i7,0,256,Intel,Windows,11.508104342010856
MSI,Gaming,8,2.6,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,Windows,11.352694739066088
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,10.56311104105693
HP,Ultrabook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,11.143362500418624
HP,Ultrabook,4,1.26,0,0,176.23257360658386,Intel Core i5,500,0,Intel,Windows,11.340108040487776
HP,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,11.658835785532077
Mediacom,2 in 1 Convertible,4,1.16,1,1,189.90579052433608,Other Intel Processor,0,32,Intel,Windows,9.67600459962282
Asus,2 in 1 Convertible,2,1.1,1,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,9.592332123898704
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,0,256,Intel,Windows,10.85594510841814
Acer,Notebook,4,1.4,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,10.159709917169616
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others,10.594313360795072
Asus,Ultrabook,16,1.1,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows,11.525170191386666
Acer,Notebook,4,2.1,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows,9.967025573340116
HP,Notebook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,10.55342238395318
Lenovo,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.105659536357711
Fujitsu,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows,10.580858947180335
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,10.534467797525002
Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows,10.084808608996498
LG,Ultrabook,8,0.98,1,1,157.3505121487356,Intel Core i7,0,512,Intel,Windows,11.52464373704442
Dell,Ultrabook,8,1.29,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,11.288114524334732
Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i5,2000,0,AMD,Windows,10.607562803627763
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Windows,10.921575017331362
Asus,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,10.620651995737775
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,10.656930001858216
Acer,Notebook,8,2.4,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows,10.082583913974387
Dell,Notebook,8,1.98,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Others,10.56311104105693
HP,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,500,0,AMD,Windows,11.026550473300178
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i3,500,0,AMD,Windows,10.059354039524033
Acer,Notebook,4,2.4,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows,9.933985719261916
